School,Phase 1,2A,2B,2C,2C(S),3
Meridian,,,,,,
↳ Vacancy (210),150,121,52,157,135,121
↳ Applied,29,26,0,22,14,-
↳ Taken,29,26,0,22,14,-
Methodist Girls’,,,,,,
↳ Vacancy (210),150,86,21,43,0,-
↳ Applied,64,83,38,63,-,-
↳ Taken,64,83,21,43,-,-
,,,,,,
,,,SC<1,SC<1,,
Montfort Junior,,,,,,
↳ Vacancy (150),90,68,40,113,88,50
↳ Applied,22,7,8,25,38,-
↳ Taken,22,7,8,25,38,-
Nan Chiau,,,,,,
↳ Vacancy (300),240,109,45,89,0,-
↳ Applied,131,38,123,264,-,-
↳ Taken,131,38,45,89,-,-
,,,,,,
,,,SC<1,SC<1,,
Nan Hua,,,,,,
↳ Vacancy (240),180,65,20,40,0,-
↳ Applied,116,96,34,192,-,-
↳ Taken,116,65,20,40,-,-
,,,,,,
,,SC1-2,SC<1,SC<1,,
Nanyang,,,,,,
↳ Vacancy (390),330,149,20,44,0,-
↳ Applied,182,171,43,76,-,-
↳ Taken,182,149,20,44,-,-
,,,,,,
,,SC>2,SC<1,SC<1,,
Naval Base,,,,,,
↳ Vacancy (240),180,66,20,58,0,-
↳ Applied,114,100,2,89,-,-
↳ Taken,114,66,2,58,-,-
,,,,,,
,,SC<1,,SC<1,,
New Town,,,,,,
↳ Vacancy (210),150,113,55,164,145,104
↳ Applied,37,9,0,19,41,-
↳ Taken,37,9,0,19,41,-
Ngee Ann,,,,,,
↳ Vacancy (240),180,94,40,122,0,-
↳ Applied,86,34,2,122,-,-
↳ Taken,86,34,2,122,-,-
North Spring,,,,,,
↳ Vacancy (240),180,128,58,173,135,86
↳ Applied,52,15,0,38,49,-
↳ Taken,52,15,0,38,49,-
North View,,,,,,
↳ Vacancy (240),180,87,26,80,0,-
↳ Applied,93,68,0,95,-,-
↳ Taken,93,68,0,80,-,-
,,,,,,
,,,,SC<1,,
North Vista,,,,,,
↳ Vacancy (240),180,123,49,148,94,44
↳ Applied,57,35,1,55,50,-
↳ Taken,57,35,1,55,50,-
Northland,,,,,,
↳ Vacancy (240),180,76,21,44,0,-
↳ Applied,104,72,22,200,-,-
↳ Taken,104,72,21,44,-,-
,,,,,,
,,,SC<2#,SC<1,,
Northoaks,,,,,,
↳ Vacancy (180),120,85,45,137,117,114
↳ Applied,35,9,0,20,3,-
↳ Taken,35,9,0,20,3,-
Northshore,,,,,,
↳ Vacancy (280),220,168,53,159,49,37
↳ Applied,52,69,1,110,12,-
↳ Taken,52,69,1,110,12,-
Oasis,,,,,,
↳ Vacancy (240),180,70,21,61,0,-
↳ Applied,110,68,2,63,-,-
↳ Taken,110,68,2,61,-,-
,,,,,,
,,,,SC<2#,,
Opera Estate,,,,,,
↳ Vacancy (180),120,60,34,101,34,1
↳ Applied,60,18,1,74,33,-
↳ Taken,60,18,1,74,33,-
,,,,,,
,,,,PR>2,,
Palm View,,,,,,
↳ Vacancy (240),180,78,43,130,54,0
↳ Applied,102,8,0,76,67,-
↳ Taken,102,8,0,76,54,-
,,,,,,
,,,,,SC1-2,
Park View,,,,,,
↳ Vacancy (180),120,56,34,101,35,0
↳ Applied,64,13,2,66,37,-
↳ Taken,64,13,2,66,35,-
,,,,,,
,,,,,PR<1#,
Pasir Ris,,,,,,
↳ Vacancy (180),120,39,23,47,0,-
↳ Applied,81,32,23,76,-,-
↳ Taken,81,32,23,47,-,-
,,,,,,
,,,,SC<1,,
Paya Lebar Methodist Girls’,,,,,,
↳ Vacancy (270),210,146,46,103,0,-
↳ Applied,64,70,35,120,-,-
↳ Taken,64,70,35,103,-,-
,,,,,,
,,,,SC1-2,,
Pei Chun Public,,,,,,
↳ Vacancy (300),240,127,24,52,0,-
↳ Applied,113,116,29,81,-,-
↳ Taken,113,116,24,52,-,-
,,,,,,
,,,SC<1,SC<1,,
Pei Hwa Presbyterian,,,,,,
↳ Vacancy (224),164,62,20,40,0,-
↳ Applied,102,93,32,75,-,-
↳ Taken,102,62,20,40,-,-
,,,,,,
,,SC>2,SC<1,SC<1,,
Pei Tong,,,,,,
↳ Vacancy (280),220,160,65,196,167,83
↳ Applied,60,25,0,29,84,-
↳ Taken,60,25,0,29,84,-
Peiying,,,,,,
↳ Vacancy (220),160,90,40,121,73,0
↳ Applied,70,29,0,49,105,-
↳ Taken,70,29,0,49,73,-
,,,,,,
,,,,,SC1-2,
Poi Ching,,,,,,
↳ Vacancy (240),180,85,41,82,0,-
↳ Applied,95,23,45,197,-,-
↳ Taken,95,23,41,82,-,-
,,,,,,
,,,SC1-2,SC<1,,
Princess Elizabeth,,,,,,
↳ Vacancy (200),140,53,20,48,0,-
↳ Applied,87,89,12,283,-,-
↳ Taken,87,53,12,48,-,-
,,,,,,
,,SC<1,,SC<1,,
Punggol Cove,,,,,,
↳ Vacancy (280),220,118,38,113,31,0
↳ Applied,102,65,1,82,34,-
↳ Taken,102,65,1,82,31,-
,,,,,,
,,,,,PR<1,
Punggol Green,,,,,,
↳ Vacancy (240),180,73,21,58,0,-
↳ Applied,107,98,4,110,-,-
↳ Taken,107,73,4,58,-,-
,,,,,,
,,SC<1,,SC<1,,
Punggol,,,,,,
↳ Vacancy (190),130,41,28,86,0,-
↳ Applied,89,17,0,106,-,-
↳ Taken,89,17,0,86,-,-
,,,,,,
,,,,SC<1,,
Punggol View,,,,,,
↳ Vacancy (240),180,82,30,92,41,0
↳ Applied,98,51,1,51,51,-
↳ Taken,98,51,1,51,41,-
,,,,,,
,,,,,SC1-2,
Qifa,,,,,,
↳ Vacancy (280),220,125,46,124,0,-
↳ Applied,95,48,17,130,-,-
↳ Taken,95,48,17,124,-,-
,,,,,,
,,,,PR1-2,,
Qihua,,,,,,
↳ Vacancy (180),120,60,32,95,53,47
↳ Applied,60,25,0,42,6,-
↳ Taken,60,25,0,42,6,-
Queenstown,,,,,,
↳ Vacancy (210),150,75,36,106,0,-
↳ Applied,76,28,1,123,-,-
↳ Taken,76,28,1,106,-,-
,,,,,,
,,,,PR<1,,
Radin Mas,,,,,,
↳ Vacancy (200),140,71,25,54,0,-
↳ Applied,70,56,22,81,-,-
↳ Taken,70,56,22,54,-,-
,,,,,,
,,,,SC<1,,
Raffles Girls’,,,,,,
↳ Vacancy (270),210,151,48,113,0,-
↳ Applied,61,66,33,130,-,-
↳ Taken,61,66,33,113,-,-
,,,,,,
,,,,SC>2,,
Red Swastika,,,,,,
↳ Vacancy (240),180,86,20,42,0,-
↳ Applied,94,112,22,89,-,-
↳ Taken,94,86,20,42,-,-
,,,,,,
,,SC>2,PR<1,SC<1,,
River Valley,,,,,,
↳ Vacancy (210),150,67,25,60,0,-
↳ Applied,84,52,16,73,-,-
↳ Taken,84,52,16,60,-,-
,,,,,,
,,,,SC1-2,,
Riverside,,,,,,
↳ Vacancy (210),150,63,20,59,0,-
↳ Applied,87,70,1,90,-,-
↳ Taken,87,63,1,59,-,-
,,,,,,
,,PR<1,,SC<1,,
Rivervale,,,,,,
↳ Vacancy (200),140,44,28,70,0,-
↳ Applied,96,20,14,133,-,-
↳ Taken,96,20,14,70,-,-
,,,,,,
,,,,SC<1,,
Rosyth,,,,,,
↳ Vacancy (270),210,75,20,41,0,-
↳ Applied,135,120,23,142,-,-
↳ Taken,135,75,20,41,-,-
,,,,,,
,,SC1-2,SC<1,SC<1,,
Rulang,,,,,,
↳ Vacancy (270),210,88,20,41,0,-
↳ Applied,122,102,26,112,-,-
↳ Taken,122,88,20,41,-,-
,,,,,,
,,SC>2,SC<1,SC<1,,
Sembawang,,,,,,
↳ Vacancy (200),140,58,25,75,8,0
↳ Applied,82,44,1,67,27,-
